Kenteken,Merk,Handelsbenaming
44SNF5,FORD,S-MAX
23PDK3,NISSAN,NISSAN QASHQAI+2
7ZTJ62,CITROEN,C4 CACTUS
GX218D,KIA,PICANTO
RJ669T,HYUNDAI,IX20
74XLNB,FORD,FOCUS
49RBDS,RENAULT,CLIO
6ZGN34,TOYOTA,TOYOTA AYGO
6TRR92,FIAT,FIAT PUNTO
02PTD3,FORD,TRANSIT 120
79LRD4,MERCEDES-BENZ,280 SEL
ZF703Z,VOLVO,XC40
74KTG6,BMW,1ER REIHE
77HZPV,RENAULT,CLIO
H873ZR,OPEL,CORSA-E
1KGP12,BMW,5ER REIHE
KX423D,RENAULT,TWINGO
J224DP,BUERSTNER,BUT715
DE6200,VOLKSWAGEN,KEVER 1500 CABRIOLET
1SZN01,SUZUKI,ALTO
TK819S,MERCEDES-BENZ,B 180




